Title,Property Type,Location,Bedrooms_Num,Bathrooms_Num,Size_SQM,Amenities,Surroundings,Price_Numeric,Price_Millions,Price_per_SQM,Amenity_Count,Month,Year,URL
5 Bed Villa with En Suite at Lavington,Villa,Lavington,5,6.0,400.0,"Alarm, Walk In Closet, En Suite, Fibre Internet, Balcony, Parking, BBQ, CCTV, Staff Quarters, Electric Fence, Swimming Pool, Borehole, Wheelchair Access, Garden, Gated Community, Kids Play Area","Bus Stop, Shopping Centre, Hospital, Scenic View, School",45000000.0,45.0,112500.0,0,11,2025,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-lavington-3873872
5 Bed House with En Suite in Kitengela,House,Kitengela,5,5.0,259.0,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",16000000.0,16.0,61776.061776061775,0,2,2026,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-kitengela-3924170
4 Bed House with En Suite in Kitengela,House,Kitengela,4,4.0,342.0,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",21000000.0,21.0,61403.508771929824,0,2,2026,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kitengela-3924169
4 Bed House with En Suite in Kitengela,House,Kitengela,4,4.0,342.0,"Alarm, Backup Generator, Fibre Internet, En Suite, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden","Shopping Centre, Bus Stop, Hospital, School",20000000.0,20.0,58479.53216374269,0,2,2026,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kitengela-3924167
1 Bed House at Tigoni,House,Tigoni,1,,260.0,Kids Play Area,"Bus Stop, Golf Course, Hospital, Scenic View, School, Sea View, Shopping Centre",18000000.0,18.0,69230.76923076923,0,2,2026,https://www.buyrentkenya.com/listings/1-bedroom-house-for-sale-tigoni-3924029
5 Bed House with Garden in Ruiru,House,Ruiru,5,6.0,300.0,"Gated Community, Garden",,33000000.0,33.0,110000.0,0,2,2026,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-ruiru-3919230
4 Bed House with Swimming Pool in Karen,House,Karen,4,5.0,273.0,"Swimming Pool, Gated Community, Garden",,85000000.0,85.0,311355.31135531137,0,2,2026,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-karen-3923679
4 Bed House with Garden in Kiambu Road,House,Kiambu Road,4,5.0,273.0,"Gated Community, Garden",,73000000.0,73.0,267399.2673992674,0,2,2026,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kiambu-road-3923688
4 Bed House with En Suite at Karen,House,Karen,4,5.0,392.0,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Scenic View, Hospital, School, Sea View, Shopping Centre",80000000.0,80.0,204081.6326530612,0,2,2026,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-karen-3924038
3 Bed Townhouse with En Suite at Gitanga Road,Townhouse,Lavington,3,2.0,320.0,"Alarm, En Suite, Fibre Internet, Parking, Balcony, Electric Fence, Gated Community","Bus Stop, School, Shopping Centre",22000000.0,22.0,68750.0,0,5,2024,https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-lavington-3691200
3 Bed Villa with En Suite at Mtwapa,Villa,Mtwapa,3,4.0,1100.0,"Aircon, Alarm, En Suite, Fibre Internet, Serviced, Walk In Closet, Balcony, Electric Fence, Borehole, Garden, Parking, Swimming Pool, Gated Community, Kids Play Area, BBQ, Wheelchair Access","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",38500000.0,38.5,35000.0,0,3,2024,https://www.buyrentkenya.com/listings/3-bedroom-villa-for-sale-mtwapa-3680467
5 Bed Townhouse with En Suite in Kileleshwa,Townhouse,Kileleshwa,5,6.0,366.03782,"Aircon, Alarm, Backup Generator, Fibre Internet, En Suite, Service Charge Included, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Garden, Staff Quarters, Parking, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",80000000.0,80.0,218556.65078542975,0,2,2026,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-kileleshwa-3924028
6 Bed House with En Suite at Runda,House,Runda,6,6.0,518.0,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Garden, Parking, Staff Quarters, Swimming Pool, Wheelchair Access, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",155000000.0,155.0,299227.79922779923,0,2,2026,https://www.buyrentkenya.com/listings/6-bedroom-house-for-sale-runda-3923985
4 Bed Townhouse with En Suite at Kihumo Regen,Townhouse,Waiyaki Way,4,5.0,1011.715,"Alarm, Service Charge Included, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Kids Play Area, Wheelchair Access","Bus Stop, Scenic View, School, Hospital, Shopping Centre",29000000.0,29.0,28664.19890977202,0,2,2026,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-waiyaki-way-3923977
4 Bed Townhouse with En Suite at Mlolongo,Townhouse,Mlolongo,4,4.0,465.0,"Backup Generator, En Suite, Fibre Internet, Kids Play Area, Gym, Parking, Balcony, CCTV, Swimming Pool, Wheelchair Access, Gated Community, Borehole, Staff Quarters","Bus Stop, Hospital, Scenic View, School, Shopping Centre",31000000.0,31.0,66666.66666666667,0,2,2026,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-mlolongo-3923932
5 Bed House with En Suite at Kamangu,House,Kikuyu,5,5.0,300.0,"Backup Generator, En Suite, Serviced, Balcony, CCTV, Electric Fence, Garden, Gym, Staff Quarters, Parking, Swimming Pool, Gated Community, Kids Play Area","Bus Stop, Hospital, Scenic View, Shopping Centre",24000000.0,24.0,80000.0,0,2,2026,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-kikuyu-town-3923927
