Title,Property Type,Price,Location,Bedrooms,Bathrooms,Size,Amenities,Surroundings,Created At
4 Bed House with En Suite at Thigiri,House,"KSh 120,000,000","Thigiri, Westlands",4 Bedrooms,4 Bathrooms,1/2 acre,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",29 January 2026
5 Bed Townhouse with En Suite at Kilimani,Townhouse,"KSh 45,000,000",Kilimani,5 Bedrooms,4 Bathrooms,N/A,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Hospital, Golf Course, Scenic View, School, Shopping Centre",29 January 2026
3 Bed House with En Suite at Awali Estate Vipingo,House,"KSh 16,000,000",Vipingo,3 Bedrooms,3 Bathrooms,506 sqm,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Serviced, Service Charge Included, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Gym, Staff Quarters, Swimming Pool, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",29 January 2026
5 Bed Townhouse with En Suite in Runda,Townhouse,"KSh 115,000,000","Runda, Westlands",5 Bedrooms,5 Bathrooms,432 sqm,"Walk In Closet, En Suite, Balcony, Kids Play Area, Parking, BBQ, CCTV, Staff Quarters, Swimming Pool, Garden, Gated Community, Wheelchair Access, Electric Fence, Gym","Shopping Centre, Hospital, School, Bus Stop, Golf Course",27 January 2026
9 Bed Villa with En Suite in Karen,Villa,"KSh 250,000,000",Karen,9 Bedrooms,10 Bathrooms,N/A,"Alarm, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Garden, Parking, Staff Quarters, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",29 January 2026
5 Bed Townhouse with En Suite at Lavington,Townhouse,"KSh 105,000,000",Lavington,5 Bedrooms,5 Bathrooms,N/A,"Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, CCTV, Electric Fence, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Hospital, Golf Course, School, Shopping Centre",29 January 2026
5 Bed Villa with En Suite in Runda,Villa,"KSh 110,000,000","Runda, Westlands",5 Bedrooms,6 Bathrooms,480 sqm,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Swimming Pool, Kids Play Area, Gated Community","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",29 January 2026
4 Bed Villa with En Suite in Runda,Villa,"KSh 52,000,000","Runda, Westlands",4 Bedrooms,5 Bathrooms,N/A,"En Suite, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Gym, Staff Quarters, Parking, Swimming Pool, Gated Community, Kids Play Area",,29 January 2026
5 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 110,000,000",Lavington,5 Bedrooms,5 Bathrooms,N/A,"Aircon, Alarm, En Suite, Fibre Internet, Walk In Closet, Balcony, CCTV, Electric Fence, BBQ, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",18 February 2025
4 Bed Townhouse with En Suite in Kileleshwa,Townhouse,"KSh 77,000,000",Kileleshwa,4 Bedrooms,4 Bathrooms,N/A,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Gym, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",16 April 2025
4 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 58,000,000",Lavington,4 Bedrooms,4 Bathrooms,250 sqm,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Serviced, Service Charge Included, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",20 August 2025
